innovation,news,network neutral,net neutral,pay prioritization,throttle traffic,open internet,block traffic,tech company,support net neutral,practice net neutral,support network neutral,practice network neutral,be net neutral,be network neutral,net neutral violation,network neutral violation,violate net neutrality,violate network neutrality,against net neutrality,against network neutrality,URL,NN
1,0,0,4,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,https://www.cogentco.com/en/net-neutrality,
0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.cogentco.com/en/16-news/files/docs/news/media_coverage/dwt_jan23_cse.pdf,
0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.fiercetelecom.com/telecom/cogent-s-schaeffer-overturning-net-neutrality-bad-for-internet-ecosystem,
0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.fiercetelecom.com/telecom/cogent-s-netcentric-business-growth-could-be-inhibited-by-net-neutrality-uncertainty-says,
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1158324/000110465919036088/a19-11398_3ex99d1.htm,
0,0,0,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.theatlantic.com/politics/archive/2015/04/the-first-net-neutrality-complaints-are-coming/456507/,
0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.prnewswire.com/news-releases/cogent-communications-reports-first-quarter-2019-results-and-increases-regular-quarterly-dividend-on-common-stock-300842141.html,
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://berec.europa.eu/eng/document_register/subject_matter/berec/public_consultations/638-response-by-cogent-communications-to-berec-2012-public-consultation-on-net-neutrality,
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.nytimes.com/topic/company/cogent-communications-group-inc,
0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://arstechnica.com/information-technology/2018/03/comcast-and-cogent-fight-again-and-customers-lose-with-slow-downloads/,
0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.fiercevideo.com/cable/cogent-level-3-could-be-first-to-file-net-neutrality-complaints-fcc,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.bsfllp.com/news-events/%3Fa%3D106%26attny%3DRobert%2520M.%2520Cooper%26d%3DDESC%26o%3Ddate,
9,2,17,131,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,https://en.wikipedia.org/wiki/Net_neutrality,
0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.marketwatch.com/investing/stock/ccoi/profile,
0,0,0,6,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,https://thedailybanter.com/2018/04/17/california-net-neutrality-bill-passes/,
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.wsj.com/articles/verizon-strikes-deal-with-internet-rival-cogent-1430516315,
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://www.cogent.al/de/news/press-releases/1201-cogent-communications-ceo-to-present-at-two-upcoming-conferences-2018-02-16,
2,0,0,7,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,https://www.channelpartnersonline.com/2015/05/18/cogent-level-3-comptel-back-fcc-in-net-neutrality-litigation/,
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.cogent.com.tr/,
