innovation,news,network neutral,net neutral,pay prioritization,throttle traffic,open internet,block traffic,tech company,support net neutral,practice net neutral,support network neutral,practice network neutral,be net neutral,be network neutral,net neutral violation,network neutral violation,violate net neutrality,violate network neutrality,against net neutrality,against network neutrality,URL,NN
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.telecompetitor.com/firstlight-extends-fiber-network-and-enhances-capabilities-in-maine/,
0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.wamc.org/post/net-neutrality-issue,
4,7,0,16,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,https://www.consumeraffairs.com/broadband-and-net-neutrality,
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.longmontcolorado.gov/departments/departments-e-m/longmont-power-communications/broadband-service/learn-about-broadband/broadband-frequently-asked-questions,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.bbcmag.com/breaking-news/lmi-net-lets-san-francisco-area-customers-choose-net-neutrality-privacy,
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.jsa.net/blog/category/broadband/,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.fcgov.com/connexion/,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://nextcenturycities.org/member/longmont-co/,
0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://www.telecomramblings.com/2015/03/the-5g-iot-and-net-neutrality-trifecta/,
1,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://consumerist.com/2015/02/25/google-fiber-other-isp-heads-agree-well-keep-investing-no-matter-what-the-fcc-does-about-net-neutrality/,
0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://www.internetnews.com/kcorbin/2009/08/net-neutrality-sees-first-ligh.html,
