innovation,news,network neutral,net neutral,pay prioritization,throttle traffic,open internet,block traffic,tech company,support net neutral,practice net neutral,support network neutral,practice network neutral,be net neutral,be network neutral,net neutral violation,network neutral violation,violate net neutrality,violate network neutrality,against net neutrality,against network neutrality,URL,NN
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://he.net/,
1,7,46,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://tech.slashdot.org/story/18/12/07/225240/trumps-pick-to-be-the-next-attorney-general-has-opposed-net-neutrality-rules-for-years,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://tri-countyelectric.net/energy-glossary,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.effectiveelectric.net/electrical-basics-101-westchester-electrician/,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.tumblr.com/tagged/with-an-electric-net,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://kencove.com/fence/99_Energizer%2BInstallation_resource.php,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.sanfordelectric.net/knob-and-tube-dangers-residential-upgrades/,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.coned.com/-/media/files/coned/documents/save-energy-money/using-private-generation/specs-and-tariffs/gr1-23.pdf%3Fla%3Den,
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://spselectric.net/blog-2/,
10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.bluebird-electric.net/oceanography/solomon_islands_makiri_santa_cruz_pacific_storm_clouds.htm,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.cityofpaloalto.org/gov/depts/utl/forms.asp,
