sentence,category,sentiment,predicted AS,search term
We,,,,cogent communications
NetNeutrality,,,,cogent communications
no blocking,,,,cogent communications
throttling,,,,cogent communications
traffic,,,,cogent communications
traffic,,,,cogent communications
all lawful content,,,,cogent communications
the Internet,,,,cogent communications
free flowing interconnection,,,,cogent communications
Internet providers,,,,cogent communications
Cogent practices,,,,cogent communications
NetNeutrality,,,,cogent communications
We,,,,cogent communications
packet transmissions,,,,cogent communications
the basis,,,,cogent communications
the content,,,,cogent communications
the packet,,,,cogent communications
the customer,,,,cogent communications
network,,,,cogent communications
the source,,,,cogent communications
the packet,,,,cogent communications
the customer,,,,cogent communications
network,,,,cogent communications
the recipient,,,,cogent communications
the packet,,,,cogent communications
December 1st,,,,cogent communications
Cogent's Schaeffer,,,,cogent communications
NetNeutrality turnback,,,,cogent communications
interconnection agreements,,,,cogent communications
AT&T Charter others,,,,cogent communications
Cogent,,,,cogent communications
a company,,,,cogent communications
whose spats,,,,cogent communications
ISPs,,,,cogent communications
traffic,,,,cogent communications
stuff,,,,cogent communications
legend,,,,cogent communications
the telecom industry,,,,cogent communications
the FCC,,,,cogent communications
the 2015 NetNeutrality order,,,,cogent communications
a mistake,,,,cogent communications
It,,,,cogent communications
almost a certainty,,,,cogent communications
a 3-2 vote,,,,cogent communications
the FCC,,,,cogent communications
the principles,,,,cogent communications
NetNeutrality,,,,cogent communications
internet service providers,,,,cogent communications
information services,,,,cogent communications
communications services,,,,cogent communications
Cogent’s Netcentric business growth,,,,cogent communications
risk,,,,cogent communications
NetNeutrality changes,,,,cogent communications
analyst,,,,cogent communications
Cogent,,,,cogent communications
fiber and IP transit services,,,,cogent communications
ISPs,,,,cogent communications
content providers,,,,cogent communications
Netflix,,,,cogent communications
the current NetNeutrality rules,,,,cogent communications
battles,,,,cogent communications
eight service providers,,,,cogent communications
their interconnection points,,,,cogent communications
The regulatory oversight,,,,cogent communications
place,,,,cogent communications
June,,,,cogent communications
us,,,,cogent communications
it,,,,cogent communications
us,,,,cogent communications
a group,,,,cogent communications
8 ISPs,,,,cogent communications
who,,,,cogent communications
their customers’ connectivity,,,,cogent communications
the internet,,,,cogent communications
the upgrade,,,,cogent communications
the interconnection points,,,,cogent communications
Schaeffer,,,,cogent communications
Cogent,,,,cogent communications
overall traffic,,,,cogent communications
its Netcentric business,,,,cogent communications
connectivity,,,,cogent communications
content providers,,,,cogent communications
other wholesale customers,,,,cogent communications
potential changes,,,,cogent communications
NetNeutrality rules,,,,cogent communications
headwinds,,,,cogent communications
the near term,,,,cogent communications
Wells Fargo,,,,cogent communications
a recent research note,,,,cogent communications
Netcentric,,,,cogent communications
FCC Chairman Ajit Pai’s commitment,,,,cogent communications
NetNeutrality rules,,,,cogent communications
content provider customers,,,,cogent communications
new products,,,,cogent communications
some recent trends,,,,cogent communications
it,,,,cogent communications
we,,,,cogent communications
the regulatory uncertainty,,,,cogent communications
NetNeutrality/TitleII,,,,cogent communications
new application development,,,,cogent communications
its content customers,,,,cogent communications
Cogent’s Schaeffer,,,,cogent communications
NetCentric customers,,,,cogent communications
NetNeutrality concerns,,,,cogent communications
The FCC,,,,cogent communications
the first disputes,,,,cogent communications
its new NetNeutrality regulations,,,,cogent communications
a fight,,,,cogent communications
Internet congestion,,,,cogent communications
online video,,,,cogent communications
NetNeutrality,,,,cogent communications
the principle,,,,cogent communications
Internet providers,,,,cogent communications
traffic,,,,cogent communications
it,,,,cogent communications
their networks,,,,cogent communications
Netflix Cogent,,,,cogent communications
Level,,,,cogent communications
the FCC,,,,cogent communications
the interconnection issue,,,,cogent communications
part,,,,cogent communications
its NetNeutrality rules,,,,cogent communications
The FCC,,,,cogent communications
interconnection,,,,cogent communications
the core,,,,cogent communications
the regulations,,,,cogent communications
providers,,,,cogent communications
content,,,,cogent communications
traffic,,,,cogent communications
"special ""fast lanes",,,,cogent communications
sites,,,,cogent communications
Matt Wood,,,,cogent communications
the policy director,,,,cogent communications
Free Press,,,,cogent communications
an advocacy group,,,,cogent communications
strong NetNeutrality regulations,,,,cogent communications
the FCC,,,,cogent communications
the complaints,,,,cogent communications
the exact circumstances,,,,cogent communications
each case,,,,cogent communications
it,,,,cogent communications
a 'NetNeutrality' argument,,,,cogent communications
Numerous factors,,,,cogent communications
such differences,,,,cogent communications
others,,,,cogent communications
future economic instability,,,,cogent communications
the global economy,,,,cogent communications
Internet services,,,,cogent communications
the impact,,,,cogent communications
foreign exchange rates,,,,cogent communications
US dollar and Canadian dollar,,,,cogent communications
US dollar exchange rates,,,,cogent communications
the translation,,,,cogent communications
Cogent Communications’ non-US dollar,,,,cogent communications
revenues expenses assets,,,,cogent communications
liabilities,,,,cogent communications
legal and operational difficulties,,,,cogent communications
new markets,,,,cogent communications
the imposition,,,,cogent communications
a requirement,,,,cogent communications
we,,,,cogent communications
the United States Universal Service Fund,,,,cogent communications
the basis,,,,cogent communications
Cogent Communications’ Internet revenue,,,,cogent communications
changes,,,,cogent communications
government policy,,,,cogent communications
regulation,,,,cogent communications
rules,,,,cogent communications
data protection cyber security,,,,cogent communications
NetNeutrality,,,,cogent communications
competition,,,,cogent communications
lower prices,,,,cogent communications
Cogent Communications’ services,,,,cogent communications
; Cogent Communications’ ability,,,,cogent communications
new customers,,,,cogent communications
the volume,,,,cogent communications
traffic,,,,cogent communications
its network,,,,cogent communications
the ability,,,,cogent communications
Cogent Communications’ Internet peering arrangements,,,,cogent communications
favorable terms,,,,cogent communications
its long-term leases,,,,cogent communications
optical fiber,,,,cogent communications
its network,,,,cogent communications
an equipment vendor Cisco Systems Inc.,,,,cogent communications
the potential,,,,cogent communications
hardware or software problems,,,,cogent communications
such equipment,,,,cogent communications
the dependence,,,,cogent communications
Cogent Communications’ network,,,,cogent communications
the quality,,,,cogent communications
dependability,,,,cogent communications
third-party fiber providers,,,,cogent communications
; Cogent Communications’ ability,,,,cogent communications
certain customers,,,,cogent communications
a significant portion,,,,cogent communications
its revenue base,,,,cogent communications
the management,,,,cogent communications
network failures,,,,cogent communications
disruptions,,,,cogent communications
outcomes,,,,cogent communications
litigation,,,,cogent communications
risks,,,,cogent communications
the offering,,,,cogent communications
the Notes,,,,cogent communications
such transaction,,,,cogent communications
time,,,,cogent communications
time,,,,cogent communications
Cogent Communications’ filings,,,,cogent communications
the Securities and Exchange Commission,,,,cogent communications
limitation Cogent Communications’ Annual Report,,,,cogent communications
Form,,,,cogent communications
the fiscal year,,,,cogent communications
Cogent Communications’ Quarterly Report,,,,cogent communications
Form,,,,cogent communications
the quarter,,,,cogent communications
 Fees,,,,cogent communications
– NetNeutrality,,,,cogent communications
Carrier neutral data center buildings,,,,cogent communications
Numerous factors,,,,cogent communications
such differences,,,,cogent communications
future economic instability,,,,cogent communications
the global economy,,,,cogent communications
a contraction,,,,cogent communications
the capital markets,,,,cogent communications
spending,,,,cogent communications
Internet services,,,,cogent communications
our ability,,,,cogent communications
financing activities,,,,cogent communications
the impact,,,,cogent communications
foreign exchange rates,,,,cogent communications
USD and Canadian dollar,,,,cogent communications
USD exchange rates,,,,cogent communications
the translation,,,,cogent communications
our non-USD,,,,cogent communications
revenues expenses assets,,,,cogent communications
liabilities,,,,cogent communications
legal and operational difficulties,,,,cogent communications
new markets,,,,cogent communications
the imposition,,,,cogent communications
a requirement,,,,cogent communications
we,,,,cogent communications
the US Universal Service Fund,,,,cogent communications
the basis,,,,cogent communications
our Internet revenue,,,,cogent communications
changes,,,,cogent communications
government policy,,,,cogent communications
regulation,,,,cogent communications
NetNeutrality rules,,,,cogent communications
the United States FCC,,,,cogent communications
the area,,,,cogent communications
data protection,,,,cogent communications
competition,,,,cogent communications
lower prices,,,,cogent communications
our services,,,,cogent communications
our ability,,,,cogent communications
new customers,,,,cogent communications
the volume,,,,cogent communications
traffic,,,,cogent communications
our network,,,,cogent communications
the ability,,,,cogent communications
our Internet peering arrangements,,,,cogent communications
favorable terms,,,,cogent communications
our reliance,,,,cogent communications
an equipment vendor Cisco Systems Inc.,,,,cogent communications
the potential,,,,cogent communications
hardware or software problems,,,,cogent communications
such equipment,,,,cogent communications
the dependence,,,,cogent communications
our network,,,,cogent communications
the quality,,,,cogent communications
dependability,,,,cogent communications
third-party fiber providers,,,,cogent communications
our ability,,,,cogent communications
certain customers,,,,cogent communications
a significant portion,,,,cogent communications
our revenue base,,,,cogent communications
the management,,,,cogent communications
network failures,,,,cogent communications
disruptions,,,,cogent communications
outcomes,,,,cogent communications
litigation,,,,cogent communications
other risks,,,,cogent communications
time,,,,cogent communications
time,,,,cogent communications
our filings,,,,cogent communications
the Securities and Exchange Commission,,,,cogent communications
limitation,,,,cogent communications
our report,,,,cogent communications
Form,,,,cogent communications
the quarter,,,,cogent communications
the Securities and Exchange Commission,,,,cogent communications
Numerous factors,,,,cogent communications
such differences,,,,cogent communications
future economic instability,,,,cogent communications
the global economy,,,,cogent communications
a contraction,,,,cogent communications
the capital markets,,,,cogent communications
spending,,,,cogent communications
Internet services,,,,cogent communications
our ability,,,,cogent communications
financing activities,,,,cogent communications
the impact,,,,cogent communications
foreign exchange rates,,,,cogent communications
USD and Canadian dollar,,,,cogent communications
