network neutral,net neutral,pay prioritization,throttle traffic,open internet,block traffic,support net neutral,practice net neutral,support network neutral,practice network neutral,be net neutral,be network neutral,net neutral violation,network neutral violation,violate net neutrality,violate network neutrality,against net neutrality,against network neutrality,URL,NN
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://corporate.comcast.com/openinternet/open-net-neutrality,True
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://about.att.com/sites/broadband/network,True
0,3,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,https://www.sonic.com/transparency,True
0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,https://starry.com/net-neutrality,True
0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.verizon.com/about/news/net-neutrality-path-forward,True
0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,https://ting.com/blog/net-neutrality-repeal-statement/,True
0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,https://www.cnbc.com/2017/07/12/facebook-ceo-mark-zuckerberg-supports-net-neutrality.html,True
0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.google.com/takeaction/action/net-neutrality/,True
0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,https://blog.mozilla.org/blog/2018/11/16/mozilla-fights-on-for-net-neutrality/,True
0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,https://www.t-mobile.com/brand/binge-on-letter,True
0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,https://frontier.com/corporate/responsibility/policy-blog/net-neutrality,True
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.bloomberg.com/news/articles/2018-11-08/sprint-is-throttling-microsoft-s-skype-service-study-finds,False
0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://arstechnica.com/tech-policy/2018/08/verizon-throttled-fire-departments-unlimited-data-during-calif-wildfire/,False
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://boingboing.net/2018/09/17/gougin-in-the-rain.html,False
0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.fudzilla.com/news/34955-cisco-comes-out-against-net-neutrality,False
0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.cultofmac.com/305821/ibm-intel-cisco-come-net-neutrality/,False
0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.extremetech.com/computing/195790-ibm-intel-qualcomm-join-dozens-of-tech-companies-to-argue-against-net-neutrality,False
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://netneutrality.koumbit.org/en/node/5,False
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://fortune.com/2009/04/03/group-asks-fcc-to-probe-iphone-skype-restrictions/,False
0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.wired.com/2011/01/metropcs-net-neutrality-challenge/,False
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.eff.org/deeplinks/2011/08/update-paxfire-and-search-redirection,False
0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.washingtonpost.com/blogs/post-tech/post/fcc-fines-verizon-125m-for-blocking-tethering-apps/2012/07/31/gJQAXjRLNX_blog.html,False
0,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,https://arstechnica.com/tech-policy/2018/09/net-neutrality-gives-free-internet-to-netflix-and-google-isp-claims/,False
