innovation,news,network neutral,net neutral,pay prioritization,throttle traffic,open internet,block traffic,tech company,support net neutral,practice net neutral,support network neutral,practice network neutral,be net neutral,be network neutral,net neutral violation,network neutral violation,violate net neutrality,violate network neutrality,against net neutrality,against network neutrality,URL,NN
0,1,0,7,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,https://www.denverpost.com/2017/12/14/fcc-net-neutrality-colorado-tech/,
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://twitter.com/zayogroup/status/571035831328231424,
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.fiercetelecom.com/installer/news-note-cloud-net-neutrality-zayo-and-more,
1,0,0,26,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,https://bizwest.com/2017/12/14/front-range-companies-prepare-fcc-vote-net-neutrality/,
0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.theverge.com/2017/12/11/16746230/net-neutrality-fcc-isp-congress-campaign-contribution,
2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1608249/000156459015008052/zayo-10k_20150630.htm,
3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1608249/000155837017006767/zayo-20170630x10k.htm,
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.fastcompany.com/90234124/fast-wireless-alternatives-to-the-big-isps-cant-grow-fast-enough,
1,7,46,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://tech.slashdot.org/story/18/12/07/225240/trumps-pick-to-be-the-next-attorney-general-has-opposed-net-neutrality-rules-for-years,
0,3,0,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://yro.slashdot.org/story/17/11/21/1649245/to-save-net-neutrality-we-must-build-our-own-internet,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.telecompetitor.com/31-5-million-zayo-neutral-path-purchase-is-latest-in-string-of-acquisitions/,
0,0,0,10,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://yomurafiber.com/blog/net-neutrality-california-senate-bill-822-some-isps-are-desperate-to-block-it/,
