sentence,category,sentiment,predicted AS,search term
We at Cogent support NetNeutrality – no blocking or throttling of traffic,,,,cogent communications
no PaidPrioritization of traffic,,,,cogent communications
full access to all lawful content on the Internet,,,,cogent communications
and free flowing interconnection among Internet providers.,,,,cogent communications
Cogent practices NetNeutrality.,,,,cogent communications
We do not prioritize packet transmissions on the basis of the content of the packet,,,,cogent communications
the customer or network that is the source of the packet,,,,cogent communications
or the customer or network that is the recipient of the packet.,,,,cogent communications
2016 Cogent's Schaeffer: NetNeutrality turnback won't impact interconnection agreements with AT&T,,,,cogent communications
a company whose spats with ISPs over blocking traffic has become stuff of legend in the telecom industry,,,,cogent communications
says that the FCC’s plan to overturn the 2015 NetNeutrality order is a mistake.,,,,cogent communications
“It’s almost a certainty on a 3,,,,cogent communications
the FCC will decide to negate the principles of NetNeutrality as well as reclassify internet service providers as information services and not as communications services.”,,,,cogent communications
RELATED: Cogent’s Netcentric business growth at risk from NetNeutrality changes,,,,cogent communications
which provides fiber and IP transit services to ISPs and content providers like Netflix,,,,cogent communications
the current NetNeutrality rules emerged following battles with eight service providers that would not upgrade their interconnection points.,,,,cogent communications
"“The regulatory oversight that was put in place in June 2015 was beneficial to us and it helped us go to a group of 8 ISPs who methodically began blocking their customers’ connectivity to the internet by refusing the upgrade the interconnection points,” Schaeffer said.",,,,cogent communications
Cogent is seeing overall traffic rising in its Netcentric business—the unit that sells connectivity to content providers and other wholesale customers—but potential changes in NetNeutrality rules could cause headwinds in the near term.,,,,cogent communications
Wells Fargo said in a recent research note that while Netcentric is growing,,,,cogent communications
FCC Chairman Ajit Pai’s commitment to realigning NetNeutrality rules might dissuade content provider customers from aggressively rolling out new products.,,,,cogent communications
“While some recent trends suggest it's modestly improving,,,,cogent communications
we believe the regulatory uncertainty around NetNeutrality/TitleII could inhibit new application development from its content customers.,,,,cogent communications
RELATED: Cogent’s Schaeffer: NetCentric customers’ NetNeutrality concerns are temporary,,,,cogent communications
The FCC may have to soon consider the first disputes under its new NetNeutrality regulations,,,,cogent communications
starting with a fight over Internet congestion and online video.,,,,cogent communications
NetNeutrality has traditionally referred to the principle that Internet providers shouldn't block or manipulate traffic once it's on their networks.,,,,cogent communications
and Level 3 all lobbied the FCC to include the interconnection issue as part of its NetNeutrality rules.,,,,cogent communications
The FCC ultimately decided that interconnection is outside the core of the regulations,,,,cogent communications
which bar providers from blocking content,,,,cogent communications
or creating special fast lanes for sites that pay.,,,,cogent communications
the policy director of Free Press,,,,cogent communications
an advocacy group that fought for strong NetNeutrality regulations,,,,cogent communications
said the FCC should consider the complaints based on the exact circumstances in each case.,,,,cogent communications
But trying to then classify it as a 'NetNeutrality' argument—that's just disingenuous.,,,,cogent communications
Numerous factors could cause or contribute to such differences,,,,cogent communications
future economic instability in the global economy,,,,cogent communications
which could affect spending on Internet services,,,,cogent communications
the impact of changing foreign exchange rates (in particular the Euro to US dollar and Canadian dollar to US dollar exchange rates) on the translation of Cogent Communications’ non,,,,cogent communications
US dollar denominated revenues,,,,cogent communications
assets and liabilities,,,,cogent communications
legal and operational difficulties in new markets,,,,cogent communications
the imposition of a requirement that we contribute to the United States Universal Service Fund on the basis of Cogent Communications’ Internet revenue,,,,cogent communications
changes in government policy and/or regulation,,,,cogent communications
including rules regarding data protection,,,,cogent communications
cyber security and NetNeutrality,,,,cogent communications
increasing competition leading to lower prices for Cogent Communications’ services,,,,cogent communications
Cogent Communications’ ability to attract new customers and to increase and maintain the volume of traffic on its network,,,,cogent communications
the ability to maintain Cogent Communications’ Internet peering arrangements on favorable terms,,,,cogent communications
Cogent Communications’ ability to renew its long,,,,cogent communications
term leases of optical fiber that comprise its network,,,,cogent communications
Cogent Communications’ reliance on an equipment vendor,,,,cogent communications
Cisco Systems Inc.,,,,cogent communications
and the potential for hardware or software problems associated with such equipment,,,,cogent communications
the dependence of Cogent Communications’ network on the quality and dependability of third,,,,cogent communications
party fiber providers,,,,cogent communications
Cogent Communications’ ability to retain certain customers that comprise a significant portion of its revenue base,,,,cogent communications
the management of network failures and/or disruptions,,,,cogent communications
outcomes in litigation,,,,cogent communications
and risks related to the offering of the Notes,,,,cogent communications
including that such transaction may not be consummated,,,,cogent communications
as well as other risks discussed from time to time in Cogent Communications’ filings with the Securities and Exchange Commission,,,,cogent communications
Cogent Communications’ Annual Report on Form 10,,,,cogent communications
K for the fiscal year ended December 31,,,,cogent communications
2018 and Cogent Communications’ Quarterly Report on Form 10,,,,cogent communications
Q for the quarter ended March 31,,,,cogent communications
Fees – NetNeutrality,,,,cogent communications
Carrier neutral data center buildings,,,,cogent communications
Numerous factors could cause or contribute to such differences,,,,cogent communications
including future economic instability in the global economy or a contraction of the capital markets which could affect spending on Internet services and our ability to engage in financing activities,,,,cogent communications
the impact of changing foreign exchange rates (in particular the Euro to USD and Canadian dollar to USD exchange rates) on the translation of our non,,,,cogent communications
USD denominated revenues,,,,cogent communications
assets and liabilities,,,,cogent communications
legal and operational difficulties in new markets,,,,cogent communications
the imposition of a requirement that we contribute to the US Universal Service Fund on the basis of our Internet revenue,,,,cogent communications
changes in government policy and/or regulation,,,,cogent communications
including NetNeutrality rules by the United States FCC and in the area of data protection,,,,cogent communications
increasing competition leading to lower prices for our services,,,,cogent communications
our ability to attract new customers and to increase and maintain the volume of traffic on our network,,,,cogent communications
the ability to maintain our Internet peering arrangements on favorable terms,,,,cogent communications
our reliance on an equipment vendor,,,,cogent communications
Cisco Systems Inc.,,,,cogent communications
and the potential for hardware or software problems associated with such equipment,,,,cogent communications
the dependence of our network on the quality and dependability of third,,,,cogent communications
party fiber providers,,,,cogent communications
our ability to retain certain customers that comprise a significant portion of our revenue base,,,,cogent communications
the management of network failures and/or disruptions,,,,cogent communications
and outcomes in litigation as well as other risks discussed from time to time in our filings with the Securities and Exchange Commission,,,,cogent communications
our report on Form 10,,,,cogent communications
Q for the quarter ended March 31,,,,cogent communications
2019 to be filed with the Securities and Exchange Commission.,,,,cogent communications
Numerous factors could cause or contribute to such differences,,,,cogent communications
including future economic instability in the global economy or a contraction of the capital markets which could affect spending on Internet services and our ability to engage in financing activities,,,,cogent communications
