innovation,news,network neutral,net neutral,pay prioritization,throttle traffic,open internet,block traffic,tech company,support net neutral,practice net neutral,support network neutral,practice network neutral,be net neutral,be network neutral,net neutral violation,network neutral violation,violate net neutrality,violate network neutrality,against net neutrality,against network neutrality,URL,NN
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://corporate.comcast.com/openinternet/open-net-neutrality,True
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://about.att.com/sites/broadband/network,True
0,0,0,3,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.sonic.com/transparency,True
0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://starry.com/net-neutrality,True
1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.verizon.com/about/news/net-neutrality-path-forward,True
1,2,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://ting.com/blog/net-neutrality-repeal-statement/,True
0,2,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,https://www.cnbc.com/2017/07/12/facebook-ceo-mark-zuckerberg-supports-net-neutrality.html,True
1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.google.com/takeaction/action/net-neutrality/,True
0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://blog.mozilla.org/blog/2018/11/16/mozilla-fights-on-for-net-neutrality/,True
1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,https://www.t-mobile.com/brand/binge-on-letter,True
1,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://frontier.com/corporate/responsibility/policy-blog/net-neutrality,True
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.bloomberg.com/news/articles/2017-07-17/microsoft-google-back-strong-net-neutrality-on-broadband-firms,True
1,1,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.cnet.com/news/groups-backed-by-facebook-alphabet-and-amazon-push-for-return-of-net-neutrality-rules/,True
0,0,0,12,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,https://www.usatoday.com/story/tech/2017/07/11/net-neutrality-day-action-heres-what-happen/460459001/,True
0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.iac.com/media-room/news/vimeo-ongoing-battle-net-neutrality-refiles-lawsuit-against-fcc,True
0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,https://finance.yahoo.com/news/barry-diller-almost-un-american-want-internet-201720478.html,True
0,0,0,11,0,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,https://www.etsy.com/advocacy/net-neutrality,True
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://action.etsy.com/redalert,True
